id,name,state_id,country_id
663,Hooksett,5,1
664,Bedford,5,1
665,Waterville Valley,5,1
666,Andover,5,1
667,Ashland,5,1
668,Barnstead,5,1
669,Belmont,5,1
670,Bradford,5,1
671,Bristol,5,1
672,Campton,5,1
673,Canterbury,5,1
674,Center Barnstead,5,1
675,Center Harbor,5,1
676,Center Sandwich,5,1
677,Contoocook,5,1
678,Danbury,5,1
679,East Andover,5,1
680,Elkins,5,1
681,Epsom,5,1
682,Franklin,5,1
683,Gilmanton,5,1
684,Glencliff,5,1
685,Grafton,5,1
686,Hebron,5,1
687,Henniker,5,1
688,Hill,5,1
689,Hillsborough,5,1
690,Holderness,5,1
691,Laconia,5,1
692,Gilford,5,1
693,Lincoln,5,1
694,Meredith,5,1
695,Moultonborough,5,1
696,Newbury,5,1
697,New Hampton,5,1
698,New London,5,1
699,Chichester,5,1
700,North Sandwich,5,1
701,North Sutton,5,1
702,Northwood,5,1
703,North Woodstock,5,1
704,Pittsfield,5,1
705,Plymouth,5,1
706,Rumney,5,1
707,Salisbury,5,1
708,Sanbornton,5,1
709,South Sutton,5,1
710,Suncook,5,1
711,Tilton,5,1
712,Warner,5,1
713,Warren,5,1
714,Washington,5,1
715,Weare,5,1
716,Wentworth,5,1
717,Springfield,5,1
718,Thornton,5,1
719,Wilmot,5,1
720,Nottingham,5,1
721,West Nottingham,5,1
722,Woodstock,5,1
723,Concord,5,1
724,Bow,5,1
725,Loudon,5,1
726,Keene,5,1
727,Antrim,5,1
728,Ashuelot,5,1
729,Bennington,5,1
730,Chesterfield,5,1
731,Dublin,5,1
732,Sullivan,5,1
733,Swanzey,5,1
734,Fitzwilliam,5,1
735,Gilsum,5,1
736,Hancock,5,1
737,Harrisville,5,1
738,Hinsdale,5,1
739,Jaffrey,5,1
740,Marlborough,5,1
741,Marlow,5,1
742,Nelson,5,1
743,Peterborough,5,1
744,Rindge,5,1
745,Spofford,5,1
746,Stoddard,5,1
747,Troy,5,1
748,West Chesterfield,5,1
749,Westmoreland,5,1
750,Winchester,5,1
751,Littleton,5,1
752,Berlin,5,1
753,Bethlehem,5,1
754,Bretton Woods,5,1
755,Colebrook,5,1
756,Errol,5,1
757,Franconia,5,1
